fisherman,one whose occupation is to catch fish . ,someone who catches fish either as a sport or as a way to make a living . 
fishery,the business or practice of catching fish ,a business that catches or sells fish and other seafood .  
fishery,the business or practice of catching fish ,a business that catches or sells fish and other seafood .  
fishhook,a hook with a pendant  to the end of which the fish tackle is hooked . ,a metal hook with a barb and sharp tip  .   used to catch fish . 
fishhook,a hook with a pendant  to the end of which the fish tackle is hooked . ,a metal hook with a barb and sharp tip  .   used to catch fish . 
fishing,  engaged in fishing ,the method  .   pastime  .   or occupation of catching or trying to catch fish . 
fishing,  engaged in fishing ,the method  .   pastime  .   or occupation of catching or trying to catch fish . 
fishy,consisting of fish ;  fishlike ;  having the qualities or taste of fish ;  abounding in fish . ,like a fish in taste or smell .  
fishy,consisting of fish ;  fishlike ;  having the qualities or taste of fish ;  abounding in fish . ,like a fish in taste or smell .  
fission,a cleaving  splitting or breaking up into parts . ,the splitting of the nucleus of an atom into two or more nuclei .  this makes more atoms of lighter elements and gives off large amounts of energy . 
fission,a cleaving  splitting or breaking up into parts . ,the splitting of the nucleus of an atom into two or more nuclei .  this makes more atoms of lighter elements and gives off large amounts of energy . 
fist,the index mark   used to direct special attention to the passage which follows . ,a persons hand with the fingers curled tightly into the palm . 
fist,the index mark   used to direct special attention to the passage which follows . ,a persons hand with the fingers curled tightly into the palm . 
fit,to bring to a required form and size ,a sudden attack  .   outbreak  .   or convulsion related to an illness .  
fit,to bring to a required form and size ,a sudden attack  .   outbreak  .   or convulsion related to an illness .  
fit,to bring to a required form and size ,proper or acceptable ;  right .  
fit,to bring to a required form and size ,  right .  
fit,to bring to a required form and size ,proper or acceptable 
fitness,the state or quality of being fit ,the degree to which someone is suitable for a job or role .  
fitness,the state or quality of being fit ,the degree to which someone is suitable for a job or role .  
five,  one more than four . ,the word for the arabic numeral  and the roman numeral v .  
five,  one more than four . ,the word for the arabic numeral  and the roman numeral v .  
five,  one more than four . ,the word for the arabic numeral  and the roman numeral v .  
five,  one more than four . ,the word for the arabic numeral  and the roman numeral v .  
fix,to transfix ,to make stable or steady ;  fasten firmly ;  attach .  
fix,to transfix ,  attach .  
fix,to transfix ,  fasten firmly 
fix,to transfix ,to make stable or steady 
fixed,of fix,firmly placed  .   fastened  .   or positioned ;  unmoving .  
fixed,of fix,  unmoving .  
fixed,of fix,firmly placed  .   fastened  .   or positioned 
fixture,  as  the fixtures of a pump ,something fixed into place as a permanent part . 
fixture,  as  the fixtures of a pump ,something fixed into place as a permanent part . 
fjord,see fiord . ,a long  .   narrow ocean inlet that passes between high and rocky banks or steep cliffs . 
fjord,see fiord . ,a long  .   narrow ocean inlet that passes between high and rocky banks or steep cliffs . 
flag,a flat stone used for paving . ,a piece of cloth  .   in the shape of a rectangle or triangle  .   with colors and designs .  flags are used for signaling or as symbols of a country or organization .  
flag,a flat stone used for paving . ,a piece of cloth  .   in the shape of a rectangle or triangle  .   with colors and designs .  flags are used for signaling or as symbols of a country or organization .  
flail,an instrument for threshing or beating grain from the ear by hand  consisting of a wooden staff or handle at the end of which a stouter and shorter pole or club called a swipe is so hung as to swing freely . ,a farm tool used to separate seeds from grain .  a flail has a long handle with a short  .   swinging bar on one end .  
flail,an instrument for threshing or beating grain from the ear by hand  consisting of a wooden staff or handle at the end of which a stouter and shorter pole or club called a swipe is so hung as to swing freely . ,a farm tool used to separate seeds from grain .  a flail has a long handle with a short  .   swinging bar on one end .  
flake,a loose filmy mass or a thin chiplike layer of anything ,a small  .   thin piece that has split off from or peeled off of a surface .  
flake,a loose filmy mass or a thin chiplike layer of anything ,a small  .   thin piece that has split off from or peeled off of a surface .  
flame,  to excite . ,the mixture of burning gas and vapor that rises from an object that is on fire .  flame is seen as brightly colored  .   flickering light .  
flame,  to excite . ,the mixture of burning gas and vapor that rises from an object that is on fire .  flame is seen as brightly colored  .   flickering light .  
flamingo,any bird of the genus phoenicopterus .  the flamingoes have webbed feet  very long legs and a beak bent down as if broken .  their color is usually red or pink .  the american flamingo is p .  ruber ,a large  .   tropical  .   wading bird with very long legs  .   a long neck  .   and bright pink or red feathers . 
flamingo,any bird of the genus phoenicopterus .  the flamingoes have webbed feet  very long legs and a beak bent down as if broken .  their color is usually red or pink .  the american flamingo is p .  ruber ,a large  .   tropical  .   wading bird with very long legs  .   a long neck  .   and bright pink or red feathers . 
flammable,inflammable . ,able to catch on fire easily . 
flammable,inflammable . ,able to catch on fire easily . 
flank,that part of a bastion which reaches from the curtain to the face  and defends the curtain the flank and face of the opposite bastion ,the area between the hip and the ribs on either side of the body .  
flank,that part of a bastion which reaches from the curtain to the face  and defends the curtain the flank and face of the opposite bastion ,the area between the hip and the ribs on either side of the body .  
flannel,a soft  nappy woolen cloth of loose texture . ,a soft material made of wool or cotton .  flannel is used for warm clothing and bed covers  .   among other things . 
flannel,a soft  nappy woolen cloth of loose texture . ,a soft material made of wool or cotton .  flannel is used for warm clothing and bed covers  .   among other things . 
flap,to move as do wings  or as something broad or loose ;  to fly with wings beating the air . ,to swing or wave back and forth with a slapping sound .  
flap,to move as do wings  or as something broad or loose ;  to fly with wings beating the air . ,to swing or wave back and forth with a slapping sound .  
flapjack,a fried dough cake containing fruit ;  a turnover . ,  pancake . 
flapjack,a fried dough cake containing fruit ;  a turnover . ,a flat cake made of batter and cooked in a pan 
flapjack,a fried dough cake containing fruit ;  a turnover . ,a flat cake made of batter and cooked in a pan ;  pancake . 
flare,to burn with an unsteady or waving flame ,to begin to burn brightly  .  
flare,to burn with an unsteady or waving flame ,to begin to burn brightly  .  
flash,slang or cant of thieves and prostitutes . ,a sudden  .   bright light that shines  .   then quickly disappears .  
flash,slang or cant of thieves and prostitutes . ,a sudden  .   bright light that shines  .   then quickly disappears .  
flask,  or of glass to heat water in etc . ,a rounded bottle with a narrow neck . 
flask,  or of glass to heat water in etc . ,a rounded bottle with a narrow neck . 
flat,  vapid ,having a surface that is straight and even ;  level .  
flat,  vapid ,a british word for a group of connected rooms on one floor used as a place to live .  flat usually has the same meaning as apartment . 
flat,  vapid ,having a surface that is straight and even 
flat,  vapid ,  level .  
flat,  vapid ,a british word for a group of connected rooms on one floor used as a place to live .  flat usually has the same meaning as apartment . 
flatfish,any fish of the family pleuronectidae ,a kind of fish that lives in salt water and has a flat body with both eyes on the top side .  sole  .   halibut  .   and flounder are flatfish . 
flatfish,any fish of the family pleuronectidae ,a kind of fish that lives in salt water and has a flat body with both eyes on the top side .  sole  .   halibut  .   and flounder are flatfish . 
flatten,  to make flat ,to make flat . 
flatten,  to make flat ,to make flat . 
flatter,a flat faced fulling hammer . ,  try to please by praising .  
flatter,a flat faced fulling hammer . ,to give too much or false praise ;  try to please by praising .  
flatter,a flat faced fulling hammer . ,to give too much or false praise 
flattery,  the act of pleasing by artiful commendation or compliments ,too much praise ;  praise that is often not meant . 
flattery,  the act of pleasing by artiful commendation or compliments ,  praise that is often not meant . 
flattery,  the act of pleasing by artiful commendation or compliments ,too much praise 
flavor,that quality of anything which affects the taste ,the particular way something tastes .  
flavor,that quality of anything which affects the taste ,the particular way something tastes .  
flavoring,of flavor,something added that gives a particular flavor . 
flavoring,of flavor,something added that gives a particular flavor . 
flaw,a crack or breach ,a fault or defect .  
flaw,a crack or breach ,a fault or defect .  
flax,a plant of the genus linum  esp .  the l .  usitatissimum which has a single slender stalk about a foot and a half high with blue flowers .  the fiber of the bark is used for making thread and cloth called linen cambric lawn lace etc .  linseed oil is expressed from the seed . ,a plant with tiny blue flowers and with seeds from which an oil is pressed .  
flax,a plant of the genus linum  esp .  the l .  usitatissimum which has a single slender stalk about a foot and a half high with blue flowers .  the fiber of the bark is used for making thread and cloth called linen cambric lawn lace etc .  linseed oil is expressed from the seed . ,a plant with tiny blue flowers and with seeds from which an oil is pressed .  
flea,an insect belonging to the genus pulex  of the order aphaniptera .  fleas are destitute of wings but have the power of leaping energetically .  the bite is poisonous to most persons .  the human flea  abundant in europe is rare in america where the dog flea  takes its place .  see aphaniptera and dog flea .  see illustration in appendix . ,a tiny insect that does not have wings but can jump far .  fleas feed on the blood of the animals they bite . 
flea,an insect belonging to the genus pulex  of the order aphaniptera .  fleas are destitute of wings but have the power of leaping energetically .  the bite is poisonous to most persons .  the human flea  abundant in europe is rare in america where the dog flea  takes its place .  see aphaniptera and dog flea .  see illustration in appendix . ,a tiny insect that does not have wings but can jump far .  fleas feed on the blood of the animals they bite . 
fled,imp .   p .  p .  of flee . ,past tense and past participle of flee . 
fled,imp .   p .  p .  of flee . ,past tense and past participle of flee . 
flee,  to avoid in an alarmed or cowardly manner ,to run away or escape .  
flee,  to avoid in an alarmed or cowardly manner ,to run away or escape .  
fleece,to spread over as with wool . ,the wool of an animal  .   usually a sheep .  
fleece,to spread over as with wool . ,the wool of an animal  .   usually a sheep .  
fleet,to pass over rapidly ,fast and graceful . 
fleet,to pass over rapidly ,a group of navy ships under one command .  
fleet,to pass over rapidly ,a group of navy ships under one command .  
fleet,to pass over rapidly ,a group of navy ships under one command .  
fleet,to pass over rapidly ,a group of navy ships under one command .  
fleet,to pass over rapidly ,fast and graceful . 
fleeting,of fleet,passing quickly ;  very brief ;  lasting only a moment . 
fleeting,of fleet,  lasting only a moment . 
fleeting,of fleet,  very brief 
fleeting,of fleet,passing quickly 
flesh,the aggregate of the muscles  fat and other tissues which cover the framework of bones in man and other animals ;  especially the muscles . ,the soft tissue  .   including muscle and fat  .   that lies between the skin and the bones .  
flesh,the aggregate of the muscles  fat and other tissues which cover the framework of bones in man and other animals ;  especially the muscles . ,the soft tissue  .   including muscle and fat  .   that lies between the skin and the bones .  
fleshy,full of  or composed of flesh ,having a lot of flesh or fat . 
fleshy,full of  or composed of flesh ,having a lot of flesh or fat . 
flew,imp .  of fly . ,a past tense of fly . 
flew,imp .  of fly . ,a past tense of fly . 
flex,flax . ,to bend again and again .  
flex,flax . ,to bend again and again .  
flexibility,  as  the flexibility of strips of hemlock hickory whalebone or metal or of rays of light . ,the capability of bending easily  .   or being bent easily  .   and not breaking . 
flexibility,  as  the flexibility of strips of hemlock hickory whalebone or metal or of rays of light . ,the capability of bending easily  .   or being bent easily  .   and not breaking . 
flexible,  admitting of being turned  bowed or twisted without breaking ,easily bent without breaking .  
flexible,  admitting of being turned  bowed or twisted without breaking ,easily bent without breaking .  
flick,to whip lightly or with a quick jerk ;  to flap ;  as  to flick a horse ;  to flick the dirt from boots . ,a sharp  .   light snap or blow .  
flick,to whip lightly or with a quick jerk ;  to flap ;  as  to flick a horse ;  to flick the dirt from boots . ,a sharp  .   light snap or blow .  
flicker,to flutter ;  to flap the wings without flying . ,a large north american woodpecker .  it is mostly brown and white and has either yellow or red under its wings and tail . 
flicker,to flutter ;  to flap the wings without flying . ,a large north american woodpecker .  it is mostly brown and white and has either yellow or red under its wings and tail . 
flicker,to flutter ;  to flap the wings without flying . ,to burn or shine in an unsteady way .  
flicker,to flutter ;  to flap the wings without flying . ,to burn or shine in an unsteady way .  
flier,see flyer  n .   . ,something or someone that flies .  
flier,see flyer  n .   . ,something or someone that flies .  
flight,the husk or glume of oats . ,an act of passing through air or space by flying .  
flight,the husk or glume of oats . ,an act or instance of fleeing . 
flight,the husk or glume of oats . ,an act of passing through air or space by flying .  
flight,the husk or glume of oats . ,an act or instance of fleeing . 
flimsy,weak ;  feeble ;  limp ;  slight ;  vain ;  without strength or solidity ;  of loose and unsubstantial structure ;  without reason or plausibility ;  as  a flimsy argument excuse objection . ,  weak . 
flimsy,weak ;  feeble ;  limp ;  slight ;  vain ;  without strength or solidity ;  of loose and unsubstantial structure ;  without reason or plausibility ;  as  a flimsy argument excuse objection . ,not solid or strong ;  weak . 
flimsy,weak ;  feeble ;  limp ;  slight ;  vain ;  without strength or solidity ;  of loose and unsubstantial structure ;  without reason or plausibility ;  as  a flimsy argument excuse objection . ,not solid or strong 
flinch,to withdraw from any suffering or undertaking  from pain or danger ;  to fail in doing or perserving ;  to show signs of yielding or of suffering ;  to shrink ;  to wince ;  as one of the parties flinched from the combat . ,to draw away suddenly in pain or fear . 
flinch,to withdraw from any suffering or undertaking  from pain or danger ;  to fail in doing or perserving ;  to show signs of yielding or of suffering ;  to shrink ;  to wince ;  as one of the parties flinched from the combat . ,to draw away suddenly in pain or fear . 
fling,  to hurl ,to throw hard or with force .  
fling,  to hurl ,to throw hard or with force .  
flintlock,a lock for a gun or pistol  having a flint fixed in the hammer which on striking the steel ignites the priming . ,a part of an old fashioned gun no longer in use .  this part makes a spark that sets the powder inside on fire .  
flintlock,a lock for a gun or pistol  having a flint fixed in the hammer which on striking the steel ignites the priming . ,a part of an old fashioned gun no longer in use .  this part makes a spark that sets the powder inside on fire .  
flintlock,a lock for a gun or pistol  having a flint fixed in the hammer which on striking the steel ignites the priming . ,a part of an old fashioned gun no longer in use .  this part makes a spark that sets the powder inside on fire .  
flintlock,a lock for a gun or pistol  having a flint fixed in the hammer which on striking the steel ignites the priming . ,a part of an old fashioned gun no longer in use .  this part makes a spark that sets the powder inside on fire .  
flip,a mixture of beer  spirit etc .  stirred and heated by a hot iron . ,to throw in such a way as to cause to turn over or spin .  
flip,a mixture of beer  spirit etc .  stirred and heated by a hot iron . ,to throw in such a way as to cause to turn over or spin .  
flipper,the hand . ,a wide  .   flat limb on a whale  .   turtle  .   or other animal that is used for swimming .  
flipper,the hand . ,a wide  .   flat limb on a whale  .   turtle  .   or other animal that is used for swimming .  
flirt,a sudden jerk ;  a quick throw or cast ;  a darting motion ;  hence  a jeer . ,  act in a romantic way that is not serious .  
flirt,a sudden jerk ;  a quick throw or cast ;  a darting motion ;  hence  a jeer . ,to play at love 
flirt,a sudden jerk ;  a quick throw or cast ;  a darting motion ;  hence  a jeer . ,to play at love ;  act in a romantic way that is not serious .  
flit,nimble ;  quick ;  swift .   see fleet . ,to fly or move in a quick or light way . 
flit,nimble ;  quick ;  swift .   see fleet . ,to fly or move in a quick or light way . 
float,  to be buoyed up . ,to rest on the surface of a liquid without sinking  .   or drift in a gas such as air without falling .  
float,  to be buoyed up . ,to rest on the surface of a liquid without sinking  .   or drift in a gas such as air without falling .  
flock,  to roughen the surface of  so as to give an appearance of being covered with fine flock . ,a group of animals or birds of one kind that stay or are kept together  .   such as geese or sheep .  
flock,  to roughen the surface of  so as to give an appearance of being covered with fine flock . ,a group of animals or birds of one kind that stay or are kept together  .   such as geese or sheep .  
floe,a low  flat mass of floating ice . ,a large sheet of floating ice . 
floe,a low  flat mass of floating ice . ,a large sheet of floating ice . 
flood,  as to flood a country with a depreciated currency . ,an overflow of water onto land that is not normally under water .  
flood,  as to flood a country with a depreciated currency . ,an overflow of water onto land that is not normally under water .  
floor,to strike down or lay level with the floor ,the lowest surface in a room 
floor,to strike down or lay level with the floor ,  the surface on which one stands in a room .  
floor,to strike down or lay level with the floor ,the lowest surface in a room ;  the surface on which one stands in a room .  
flop,act of flopping . ,to fall down or over in a limp or heavy manner .  
flop,act of flopping . ,to fall down or over in a limp or heavy manner .  
floppy,having a tendency to flop or flap ,hanging or flapping in a loose way .  
floppy,having a tendency to flop or flap ,hanging or flapping in a loose way .  
flora,the complete system of vegetable species growing without cultivation in a given locality  region or period ,plants generally  .   or all the plants that grow in a particular place .  the word flora contrasts with the word fauna  .   which refers to animals only . 
flora,the complete system of vegetable species growing without cultivation in a given locality  region or period ,plants generally  .   or all the plants that grow in a particular place .  the word flora contrasts with the word fauna  .   which refers to animals only . 
floral,containing  or belonging to a flower ;  as a floral bud ;  a floral leaf ;  floral characters . ,of  .   having to do with  .   or made up of flowers . 
floral,containing  or belonging to a flower ;  as a floral bud ;  a floral leaf ;  floral characters . ,of  .   having to do with  .   or made up of flowers . 
florist,a cultivator of  or dealer in flowers . ,a person who works at growing  .   keeping  .   or arranging flowers and plants in order to sell them . 
florist,a cultivator of  or dealer in flowers . ,a person who works at growing  .   keeping  .   or arranging flowers and plants in order to sell them . 
floss,fluid glass floating on iron in the puddling furnace  produced by the vitrification of oxides and earths which are present . ,soft  .   silky thread used for sewing and embroidery .  
floss,fluid glass floating on iron in the puddling furnace  produced by the vitrification of oxides and earths which are present . ,soft  .   silky thread used for sewing and embroidery .  
floss,fluid glass floating on iron in the puddling furnace  produced by the vitrification of oxides and earths which are present . ,soft  .   silky thread used for sewing and embroidery .  
floss,fluid glass floating on iron in the puddling furnace  produced by the vitrification of oxides and earths which are present . ,soft  .   silky thread used for sewing and embroidery .  
flounder,to fling the limbs and body  as in making efforts to move ;  to struggle as a horse in the mire or as a fish on land ;  to roll toss and tumble ;  to flounce . ,to move forward in a clumsy way  .   often losing balance .  
flounder,to fling the limbs and body  as in making efforts to move ;  to struggle as a horse in the mire or as a fish on land ;  to roll toss and tumble ;  to flounce . ,a flatfish that lives in the ocean .  flounder are used for food . 
flounder,to fling the limbs and body  as in making efforts to move ;  to struggle as a horse in the mire or as a fish on land ;  to roll toss and tumble ;  to flounce . ,a flatfish that lives in the ocean .  flounder are used for food . 
flounder,to fling the limbs and body  as in making efforts to move ;  to struggle as a horse in the mire or as a fish on land ;  to roll toss and tumble ;  to flounce . ,to move forward in a clumsy way  .   often losing balance .  
flour,to sprinkle with flour . ,the fine  .   ground meal or powder of wheat or other grain .  flour is used to make bread  .   pasta  .   and other foods .  
flour,to sprinkle with flour . ,the fine  .   ground meal or powder of wheat or other grain .  flour is used to make bread  .   pasta  .   and other foods .  
flourish,to be prosperous ,to grow in a strong  .   healthy way .  
flourish,to be prosperous ,to grow in a strong  .   healthy way .  
flow,     called also flow moss and flow bog . ,to move in a smooth  .   steady stream .  
flow,     called also flow moss and flow bog . ,to move in a smooth  .   steady stream .  
flower,that part of a plant destined to produce seed  and hence including one or both of the sexual organs ;  an organ or combination of the organs of reproduction whether inclosed by a circle of foliar parts or not .  a complete flower consists of two essential parts the stamens and the pistil and two floral envelopes the corolla and callyx .  in mosses the flowers consist of a few special leaves surrounding or subtending organs called archegonia .  see blossom and corolla . ,the part of a plant that has petals and that makes fruit or seeds 
flower,that part of a plant destined to produce seed  and hence including one or both of the sexual organs ;  an organ or combination of the organs of reproduction whether inclosed by a circle of foliar parts or not .  a complete flower consists of two essential parts the stamens and the pistil and two floral envelopes the corolla and callyx .  in mosses the flowers consist of a few special leaves surrounding or subtending organs called archegonia .  see blossom and corolla . ,  blossom .  flowers often have a pleasant smell .  
flower,that part of a plant destined to produce seed  and hence including one or both of the sexual organs ;  an organ or combination of the organs of reproduction whether inclosed by a circle of foliar parts or not .  a complete flower consists of two essential parts the stamens and the pistil and two floral envelopes the corolla and callyx .  in mosses the flowers consist of a few special leaves surrounding or subtending organs called archegonia .  see blossom and corolla . ,the part of a plant that has petals and that makes fruit or seeds ;  blossom .  flowers often have a pleasant smell .  
flown,of fly,a past participle of fly . 
flown,of fly,a past participle of fly . 
flue,  very fine lint or hair . ,a hollow pipe inside a chimney that lets hot or cold air  .   smoke  .   or steam escape to the outside . 
flue,  very fine lint or hair . ,a hollow pipe inside a chimney that lets hot or cold air  .   smoke  .   or steam escape to the outside . 
fluent,  easily moving . ,able to speak or write easily and naturally . 
fluent,  easily moving . ,able to speak or write easily and naturally . 
fluff,nap or down ,a soft  .   light material  .   or a mass of such a material .  
fluff,nap or down ,a soft  .   light material  .   or a mass of such a material .  
fluffy,pertaining to  or resembling fluff or nap ;  soft and downy . ,of  .   made of  .   or covered with fluff .  
fluffy,pertaining to  or resembling fluff or nap ;  soft and downy . ,of  .   made of  .   or covered with fluff .  
fluid,  liquid or gaseous . ,a liquid or gas .  a fluid flows easily and takes the shape of the container that holds it .  water and air are fluids .  
fluid,  liquid or gaseous . ,a liquid or gas .  a fluid flows easily and takes the shape of the container that holds it .  water and air are fluids .  
fluke,an accidental and favorable stroke at billiards  ;  hence  any accidental or unexpected advantage ;  as he won by a fluke . ,something that is accidental good luck . 
fluke,an accidental and favorable stroke at billiards  ;  hence  any accidental or unexpected advantage ;  as he won by a fluke . ,something that is accidental good luck . 
flung,imp .   p .  p .  of fling . ,past tense and past participle of fling . 
flung,imp .   p .  p .  of fling . ,past tense and past participle of fling . 
fluorescent,having the property of fluorescence . ,able to give off visible light after being exposed to a source of heat  .   light  .   or other form of energy . 
fluorescent,having the property of fluorescence . ,able to give off visible light after being exposed to a source of heat  .   light  .   or other form of energy . 
fluoride,a binary compound of fluorine with another element or radical . ,a chemical compound that contains fluorine as one of its elements . 
fluoride,a binary compound of fluorine with another element or radical . ,a chemical compound that contains fluorine as one of its elements . 
fluorine,a non metallic  gaseous element strongly acid or negative or associated with chlorine bromine and iodine in the halogen group of which it is the first member .  it always occurs combined is very active chemically and possesses such an avidity for most elements and silicon especially that it can neither be prepared nor kept in glass vessels .  if set free it immediately attacks the containing material so that it was not isolated until  .  it is a pungent,a substance that is a chemical element .  fluorine combines easily with other elements to form compounds .  some of these compounds are used to prevent tooth decay .  fluorine is poisonous in its pure gas form .  
fluorine,a non metallic  gaseous element strongly acid or negative or associated with chlorine bromine and iodine in the halogen group of which it is the first member .  it always occurs combined is very active chemically and possesses such an avidity for most elements and silicon especially that it can neither be prepared nor kept in glass vessels .  if set free it immediately attacks the containing material so that it was not isolated until  .  it is a pungent,a substance that is a chemical element .  fluorine combines easily with other elements to form compounds .  some of these compounds are used to prevent tooth decay .  fluorine is poisonous in its pure gas form .  
fluorine,a non metallic  gaseous element strongly acid or negative or associated with chlorine bromine and iodine in the halogen group of which it is the first member .  it always occurs combined is very active chemically and possesses such an avidity for most elements and silicon especially that it can neither be prepared nor kept in glass vessels .  if set free it immediately attacks the containing material so that it was not isolated until  .  it is a pungent,a substance that is a chemical element .  fluorine combines easily with other elements to form compounds .  some of these compounds are used to prevent tooth decay .  fluorine is poisonous in its pure gas form .  
fluorine,a non metallic  gaseous element strongly acid or negative or associated with chlorine bromine and iodine in the halogen group of which it is the first member .  it always occurs combined is very active chemically and possesses such an avidity for most elements and silicon especially that it can neither be prepared nor kept in glass vessels .  if set free it immediately attacks the containing material so that it was not isolated until  .  it is a pungent,a substance that is a chemical element .  fluorine combines easily with other elements to form compounds .  some of these compounds are used to prevent tooth decay .  fluorine is poisonous in its pure gas form .  
flurry,to put in a state of agitation ;  to excite or alarm . ,a light fall of snow that ends quickly .  
flurry,to put in a state of agitation ;  to excite or alarm . ,a light fall of snow that ends quickly .  
flush,  abounding ,a brief  .   heavy flow of water or other liquid .  
flush,  abounding ,even or level with another surface or line .  
flush,  abounding ,a brief  .   heavy flow of water or other liquid .  
flush,  abounding ,even or level with another surface or line .  
fluster,  hence to throw into agitation and confusion ,to cause to become nervous  .   confused  .   or upset .  
fluster,  hence to throw into agitation and confusion ,to cause to become nervous  .   confused  .   or upset .  
flute,a musical wind instrument  consisting of a hollow cylinder or pipe with holes along its length stopped by the fingers or by keys which are opened by the fingers .  the modern flute is closed at the upper end and blown with the mouth at a lateral hole . ,a woodwind instrument with a high pitch .  it is a long tube with finger holes or keys along it and is played by blowing into a hole near one end . 
flute,a musical wind instrument  consisting of a hollow cylinder or pipe with holes along its length stopped by the fingers or by keys which are opened by the fingers .  the modern flute is closed at the upper end and blown with the mouth at a lateral hole . ,a woodwind instrument with a high pitch .  it is a long tube with finger holes or keys along it and is played by blowing into a hole near one end . 
flutter,  quick and irregular motion ,to wave rapidly back and forth or up and down .  
flutter,  quick and irregular motion ,to wave rapidly back and forth or up and down .  
fly,a hook dressed in imitation of a fly     used for fishing . ,an insect with two wings .  most flies are active in the daytime  .   and many have large eyes .  mosquitoes and houseflies are among the thousands of types of flies . 
fly,a hook dressed in imitation of a fly     used for fishing . ,to move through the air by means of wings .  
fly,a hook dressed in imitation of a fly     used for fishing . ,to move through the air by means of wings .  
fly,a hook dressed in imitation of a fly     used for fishing . ,an insect with two wings .  most flies are active in the daytime  .   and many have large eyes .  mosquitoes and houseflies are among the thousands of types of flies . 
flycatcher,one of numerous species of birds that feed upon insects  which they take on the wing . ,a bird that lives in europe and america and eats insects that it catches in the air .  there are many different kinds of flycatchers . 
flycatcher,one of numerous species of birds that feed upon insects  which they take on the wing . ,a bird that lives in europe and america and eats insects that it catches in the air .  there are many different kinds of flycatchers . 
flying,of fly,being able to fly or seeming to fly .  
flying,of fly,being able to fly or seeming to fly .  
flying fish,a fish which is able to leap from the water  and fly a considerable distance by means of its large and long pectoral fins .  these fishes belong to several species of the genus exocoetus and are found in the warmer parts of all the oceans . ,a fish that lives in the ocean and has fins that look like wings .  flying fish can glide in the air after jumping from the water . 
flying fish,a fish which is able to leap from the water  and fly a considerable distance by means of its large and long pectoral fins .  these fishes belong to several species of the genus exocoetus and are found in the warmer parts of all the oceans . ,a fish that lives in the ocean and has fins that look like wings .  flying fish can glide in the air after jumping from the water . 
foal,the young of any animal of the horse family  ;  a colt ;  a filly . ,a young horse  .   donkey  .   or related animal  .   usually one that is less than a year old .  
foal,the young of any animal of the horse family  ;  a colt ;  a filly . ,a young horse  .   donkey  .   or related animal  .   usually one that is less than a year old .  
foam,  as  the billows foam . ,a mass of small bubbles that forms on the surface of a liquid .  
foam,  as  the billows foam . ,a mass of small bubbles that forms on the surface of a liquid .  
focus,a central point ,the point at which rays of light or heat come together or from which they seem to move away .  
focus,a central point ,the point at which rays of light or heat come together or from which they seem to move away .  
fodder, to furnish with hay straw oats etc . ,feed for farm animals  .   such as stalks of corn cut and mixed with hay . 
fodder, to furnish with hay straw oats etc . ,feed for farm animals  .   such as stalks of corn cut and mixed with hay . 
foe,  a hostile army . ,one who wishes ill on another 
foe,  a hostile army . ,  personal enemy . 
foe,  a hostile army . ,one who wishes ill on another ;  personal enemy . 
fog,to show indistinctly or become indistinct  as the picture on a negative sometimes does in the process of development . ,a thick mass  .   like a cloud  .   made up of tiny water drops floating in the air near the ground 
fog,to show indistinctly or become indistinct  as the picture on a negative sometimes does in the process of development . ,  mist .  
fog,to show indistinctly or become indistinct  as the picture on a negative sometimes does in the process of development . ,a thick mass  .   like a cloud  .   made up of tiny water drops floating in the air near the ground 
fog,to show indistinctly or become indistinct  as the picture on a negative sometimes does in the process of development . ,  mist .  
fog,to show indistinctly or become indistinct  as the picture on a negative sometimes does in the process of development . ,a thick mass  .   like a cloud  .   made up of tiny water drops floating in the air near the ground ;  mist .  
fog,to show indistinctly or become indistinct  as the picture on a negative sometimes does in the process of development . ,a thick mass  .   like a cloud  .   made up of tiny water drops floating in the air near the ground ;  mist .  
foggy,filled or abounding with fog  or watery exhalations ,full of or covered by fog .  
foggy,filled or abounding with fog  or watery exhalations ,full of or covered by fog .  
foil,a blunt weapon used in fencing  resembling a smallsword in the main but usually lighter and having a button at the point . ,a very thin  .   flexible sheet of a metal  .   such as aluminum . 
foil,a blunt weapon used in fencing  resembling a smallsword in the main but usually lighter and having a button at the point . ,a very thin  .   flexible sheet of a metal  .   such as aluminum . 
fold,to lap or lay in plaits or folds ;  to lay one part over another part of ;  to double ;  as  to fold cloth ;  to fold a letter . ,an area within a fence or wall where sheep or other animals are kept . 
fold,to lap or lay in plaits or folds ;  to lay one part over another part of ;  to double ;  as  to fold cloth ;  to fold a letter . ,to bend over upon itself so that one section lies on or against another section .  
fold,to lap or lay in plaits or folds ;  to lay one part over another part of ;  to double ;  as  to fold cloth ;  to fold a letter . ,an area within a fence or wall where sheep or other animals are kept . 
fold,to lap or lay in plaits or folds ;  to lay one part over another part of ;  to double ;  as  to fold cloth ;  to fold a letter . ,to bend over upon itself so that one section lies on or against another section .  
folder,one who  or that which folds ;  esp .  a flat knifelike instrument used for folding paper . ,a piece of paper or cardboard folded at the center .  a folder can hold papers or letters .  
folder,one who  or that which folds ;  esp .  a flat knifelike instrument used for folding paper . ,a piece of paper or cardboard folded at the center .  a folder can hold papers or letters .  
foliage,to adorn with foliage or the imitation of foliage ,leaves on a tree or other plant .  
foliage,to adorn with foliage or the imitation of foliage ,leaves on a tree or other plant .  
